IP Address      | Identity                                     | Gossip | TPU   | TPU-QUIC | RPC Address           | Version | Feature Set
147.135.3.40    | 92UZGaRfmMK8786tSQ74VL9bjBo8R4SEU9CDz5ZAhggt | 8001   | 8004  | 8010     | none                  | 2.1.13  | 1725507508
147.135.102.201 | 7gZKifipoe1sQ7WUnqYhjBii6Yjb4MWJPjNNH7kqP9az | 8001   | 8004  | 8010     | none                  | 2.1.13  | 1725507508
145.239.203.28  | 8QiXRWE1A24kX4YFifAk19UoeGZPLfb7yVDeP8zmptS3 | 8001   | 8004  | 8010     | none                  | 2.1.13  | 1725507508
103.219.170.203 | 3f4FhuMfa7nvKKWQuMumosp3iP1dZw7oghgJZjJafzUS | 8000   | 8003  | 8009     | none                  | 2.1.14  | 3271415109
45.250.254.105  | 9BcNQNUFvSioDaEePJcAR5wdcVnCVZekVbTUJd6VdEFA | 8000   | 8003  | 8009     | none                  | 2.1.11  | 1725507508
178.33.111.146  | 8WQT5ZBAqaPXzQ1HM5wVEoaB1KH5GuxqRfqMsb6ssGux | 8001   | 8004  | 8010     | none                  | 2.1.13  | 1725507508
15.204.42.212   | 82yuysh4eM4L8timTaTwofMDXLe5KTUx9oPT3yMXRzdx | 8001   | 8004  | 8010     | none                  | 2.1.13  | 1725507508
72.251.7.0      | EQcgg6genmPJnQzPR3KVzmms2rrrfQTssnKcQuPriG7B | 8001   | 8004  | 8010     | none                  | 2.1.13  | 1725507508
15.204.20.166   | GKy1GgNzSKhK9RovHr14DyAvGdXdFt1NPf2bNVme1scP | 8001   | 8004  | 8010     | none                  | 2.1.13  | 1725507508
193.200.65.18   | 44xc75LSE5MHwTkAFiwoNcDscjeCidruvbFo2452BseN | 8001   | 8003  | 8009     | 193.200.65.18:8899    | 2.1.11  | 3039680930
72.251.7.2      | 8Triji1et1keKhSBcSBfuSDLfs25gVaqZYqhXh24JAYu | 8001   | 8004  | 8010     | none                  | 2.1.13  | 1725507508
15.204.42.215   | 2YgLsK6kfkRYk4GnskZsBysvXpo7pm7PQXNbKaHWE8hS | 8001   | 8004  | 8010     | none                  | 2.1.13  | 1725507508
51.38.91.201    | GG2ncLpRJ52FiuwWN1jNJo251TPxLhwfRoQ7rc3uwaTu | 8001   | 8004  | 8010     | none                  | 2.1.13  | 1725507508
72.46.86.243    | 29qaEMNkdjWmjt6yaSYr3aySxJXSG7J25iavq4AKUF1K | 38000  | 38003 | 38009    | none                  | 2.1.11  | 3039680930
